hour,ms,mn,mx
0,36.10161147617078,36.095207054057205,36.11001546364501
1,33.65245179247463,33.62857156861909,33.683527037382056
2,33.72247749935261,33.71688231956045,33.72982248113334
3,31.66106924765408,31.641878036456102,31.6860977884711
4,29.761623732306408,29.719540825140218,29.8159425436905
5,31.178416820855183,31.133501150216155,31.236322795468958
6,32.82164729208148,32.807966748893584,32.839536005368736
7,32.318851037129896,32.304462154528956,32.33767779073232
8,29.429904569202478,29.383410690705066,29.48979905442347
9,28.942768716341085,28.901242784676075,28.996395369889868
10,31.208505635625176,31.189492740585937,31.233407032003203
11,33.970161901011586,33.9633669937089,33.975423146711954
12,31.21462816141228,31.19369007139338,31.242120096069645
13,37.80288590659357,37.80223653239359,37.80341698685155
14,38.42816227204243,38.42573082334982,38.431274184745874
15,42.13419927841254,42.122582177163856,42.149336366075595
16,44.81722236276702,44.79643346970228,44.84428948631184
17,46.852665796530545,46.813611767457765,46.90419829326599
18,48.85148110842638,48.82327084681717,48.88384124859638
19,49.56336109532068,49.531236168703586,49.60500763886925
20,45.740169199002295,45.627915562397725,45.88140141941338
21,46.34490529507935,46.32004841332548,46.377236774479556
22,39.64420128647439,39.58718269227592,39.71735308825542
23,39.01053641314388,38.94404427563945,39.09553963750661
