agent,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,0.01307321327185511,0.048951500800806486,0.01141407539107252,0.03936438481267933,0.0851408242956376,0.09056891683529303,0.02803625885942846,0.02906215008125665,0.0943812458292124,0.08497180384632573,0.03697775387611753,-0.010494143394017955,0.04048392418695131,-0.002255595958969974,0.004590761965746216,0.023955556273786854,0.04243068227351326,0.0603149899483601,0.04400837417940977,0.06559021314342252,0.1982619816689204,0.050938991689420704,0.11300560309111478,0.12966913660961624
1,0.00013073213651916955,0.0004895149531160497,0.00011414080597834005,0.000393643908687681,0.0008514082370063437,0.0009056891401675376,0.0002803625914560772,0.00028922449187931737,0.0009440868532867396,0.0008532780901032489,0.0003803788975645896,-9.245700361437747e-05,0.0004035720854932834,-1.2818414504480574e-05,6.668562926540026e-05,0.0002374969786376006,0.00042616191500363166,0.0005803720168604373,0.0007824698774856932,0.0006559021571511381,0.002001040789929722,0.0005093899827735995,0.0011300560772337517,0.0012966913235095015
2,0.00013073213954529543,0.0004895149540741849,0.00011414080425847464,0.0003936439133094628,0.0008514082357509156,0.0009056891327642037,0.00028036259287012613,0.00029809100164732963,0.0009354595784166136,0.0008416894309327694,0.0003975832798731699,-0.00012686077643470534,0.00043283427591424474,3.2615449840947294e-06,4.49674049607091e-05,0.00024201242496517996,0.00041535259013153247,0.0012769348975800359,0.0004539522461013976,0.0006559021414709923,0.0020010407692068796,0.0005093899867973224,0.0011300560913147613,0.0012966913094297537
3,0.00013073213549481464,0.000489514945329621,0.00011414081405589084,0.00039364391299101276,0.0008514082368071329,0.0009056891434896518,0.00028036259153181207,0.00029348237197082114,0.0009352618427824659,0.0008530289291744085,0.00039889760431788686,-9.107511775502885e-05,0.00042807732610732145,1.4362018445101031e-05,2.5245639720516814e-05,0.00025953320655619814,0.00042137520409371267,0.0005835955881678466,0.0004454485242430187,0.0006559021372304959,0.001982619761811044,0.0005093899587257756,0.0011300560701443618,0.001296691330479843
4,0.00013073213571854035,0.0004895149427395843,0.00011414081653099752,0.0003936439147382689,0.0008514082366739161,0.0009056891428047754,0.0002803625916377744,0.00029980216058229247,0.0009272288690936193,0.0008481523562718539,0.000376582862282287,-9.787086897284546e-05,0.000407335291925105,8.619317545040879e-07,7.399148339931323e-05,0.00026392719540464777,0.0004316051360858849,0.0005816802248310577,0.00044273359071558263,0.0006559021373449315,0.001982619758814398,0.0005093899612396064,0.0011300560699460957,0.0012966913306823578
5,0.00013073213592929703,0.0004895149423801891,0.00011414081678309831,0.0003936439163707599,0.0008514082365510212,0.0009056891421288988,0.00028036259174253045,0.00029678687789335193,0.0009406996713203276,0.0008260305766979901,0.00037917256519318316,-0.00010206657911232067,0.00040364096788288135,1.73937037745983e-05,6.744469162469514e-05,0.00022043693740013572,0.0004280240024129034,0.000594207775351089,0.0004351817988112452,0.0006559021374474387,0.001982619755749695,0.0005093899638390736,0.0011300560696936135,0.0012966913309327022
6,0.00013073213723812177,0.0004895149459140331,0.00011414081279580495,0.00039364391434132054,0.0008514082365797987,0.0009056891379743251,0.00028036259174046146,0.0002963586175730546,0.0009356190348753824,0.0008290408941221309,0.00038139986069738477,-9.600942254084877e-05,0.0004463393469996976,1.149896783167914e-05,7.34568591788659e-05,0.00021991528606572728,0.0004344004421682548,0.0005959856519312248,0.0007787946726269,0.0006559021580636783,0.0020010407803696013,0.0005093899908007904,0.0011300560785824775,0.0012966913222268426
7,0.00013073214025587014,0.0004895149492184589,0.00011414080871692054,0.0003936439178572205,0.0008514082354373876,0.0009056891311987794,0.00028036259304125286,0.00029588439349748736,0.0009324328328861626,0.0008513542428664076,0.0004043806154128517,-0.00010975481962278008,0.0004205386162129722,-3.370299041751878e-06,6.128954136226733e-05,0.00024719228836372626,0.0004229909633801545,0.0012710808818331924,0.00044762075998597967,0.0006559021417819862,0.0020010407578417155,0.000509389995977733,0.0011300560942733588,0.0012966913065209492
8,0.00013073214064464016,0.0004895149497906769,0.00011414080792709006,0.0003936439202639799,0.0008514082352745941,0.0009056891304034818,0.0002803625931269127,0.00030144504566906175,0.0009398759832460366,0.0008382109470607629,0.00039361356352464076,-0.00011737000789436363,0.0004149492662264325,-3.2525069863041165e-05,2.702168242657114e-05,0.0002557855713546338,0.00043721532360536166,0.001258801367027298,0.000441471251609556,0.0006559021419418463,0.002001040751745062,0.0005093900009408123,0.001130056095746811,0.001296691305074948
9,0.005752213605389778,0.021538662063051633,0.0050221915258850435,0.01732032884091155,0.03746196272455626,0.039850323627675883,0.012335953891929203,0.012785883003872766,0.041580809732548143,0.037162351061113055,0.016590049606733492,-0.0043538740493140595,0.0198336186271576,-0.0011076256006716896,0.00301663761433012,0.011035472248603495,0.018263920225601252,0.025620124806634108,0.034548703257274875,0.02885969396577986,0.08804579802978192,0.022413156630984907,0.04972246519484893,0.05705442035459348
